symbol,sector,change_pct,category
360ONE,Financial Services,-1.54,neutral
3MINDIA,Diversified,-6.4,down_5_10
ABB,Capital Goods,-0.14,neutral
ACC,Construction Materials,-2.05,neutral
ACMESOLAR,Power,0.3,neutral
AIAENG,Capital Goods,-2.26,neutral
APLAPOLLO,Capital Goods,-1.19,neutral
AUBANK,Financial Services,-0.57,neutral
AWL,Fast Moving Consumer Goods,-2.29,neutral
AADHARHFC,Financial Services,-0.92,neutral
AARTIIND,Chemicals,-4.12,down_3_5
AAVAS,Financial Services,-1.67,neutral
ABBOTINDIA,Healthcare,-0.75,neutral
ACE,Capital Goods,-0.83,neutral
ADANIENSOL,Power,-3.4,down_3_5
ADANIENT,Metals & Mining,-3.4,down_3_5
ADANIGREEN,Power,-4.73,down_3_5
ADANIPORTS,Services,-1.6,neutral
ADANIPOWER,Power,-6.6,down_5_10
ATGL,Oil Gas & Consumable Fuels,-2.99,neutral
ABCAPITAL,Financial Services,-2.45,neutral
ABFRL,Consumer Services,5.37,up_5_10
ABLBL,Consumer Services,-1.3,neutral
ABREL,Forest Materials,-2.01,neutral
ABSLAMC,Financial Services,-0.25,neutral
AEGISLOG,Oil Gas & Consumable Fuels,-1.6,neutral
AEGISVOPAK,Oil Gas & Consumable Fuels,0.58,neutral
AFCONS,Construction,-1.58,neutral
AFFLE,Information Technology,-3.88,down_3_5
AJANTPHARM,Healthcare,1.04,neutral
AKUMS,Healthcare,-2.73,neutral
AKZOINDIA,Consumer Durables,-1.65,neutral
APLLTD,Healthcare,-2.53,neutral
ALKEM,Healthcare,-7.97,down_5_10
ALKYLAMINE,Chemicals,-0.97,neutral
ALOKINDS,Textiles,-3.21,down_3_5
ARE&M,Automobile and Auto Components,-2.31,neutral
AMBER,Consumer Durables,-0.64,neutral
AMBUJACEM,Construction Materials,-2.51,neutral
ANANDRATHI,Financial Services,0.08,neutral
ANANTRAJ,Realty,-2.88,neutral
ANGELONE,Financial Services,-1.95,neutral
APARINDS,Capital Goods,-0.15,neutral
APOLLOHOSP,Healthcare,0.05,neutral
APOLLOTYRE,Automobile and Auto Components,-1.82,neutral
APTUS,Financial Services,-0.97,neutral
ASAHIINDIA,Automobile and Auto Components,-1.52,neutral
ASHOKLEY,Capital Goods,-3.03,down_3_5
ASIANPAINT,Consumer Durables,-1.83,neutral
ASTERDM,Healthcare,-0.49,neutral
ASTRAZEN,Healthcare,1.08,neutral
ASTRAL,Capital Goods,0.31,neutral
ATHERENERG,Automobile and Auto Components,-2.41,neutral
ATUL,Chemicals,0.09,neutral
AUROPHARMA,Healthcare,-1.06,neutral
AIIL,Financial Services,-1.89,neutral
DMART,Consumer Services,-1.36,neutral
AXISBANK,Financial Services,-0.57,neutral
BASF,Chemicals,-3.06,down_3_5
BEML,Capital Goods,-0.12,neutral
BLS,Consumer Services,-3.29,down_3_5
BSE,Financial Services,-3.75,down_3_5
BAJAJ-AUTO,Automobile and Auto Components,-0.81,neutral
BAJFINANCE,Financial Services,2.57,neutral
BAJAJFINSV,Financial Services,-0.68,neutral
BAJAJHLDNG,Financial Services,-1.44,neutral
BAJAJHFL,Financial Services,-1.22,neutral
BALKRISIND,Automobile and Auto Components,-1.12,neutral
BALRAMCHIN,Fast Moving Consumer Goods,1.18,neutral
BANDHANBNK,Financial Services,-2.42,neutral
BANKBARODA,Financial Services,-0.83,neutral
BANKINDIA,Financial Services,-2.11,neutral
MAHABANK,Financial Services,-0.23,neutral
BATAINDIA,Consumer Durables,-3.58,down_3_5
BAYERCROP,Chemicals,-0.86,neutral
BERGEPAINT,Consumer Durables,0.27,neutral
BDL,Capital Goods,-2.2,neutral
BEL,Capital Goods,-1.88,neutral
BHARATFORG,Automobile and Auto Components,0.7,neutral
BHEL,Capital Goods,-1.86,neutral
BPCL,Oil Gas & Consumable Fuels,-0.95,neutral
BHARTIARTL,Telecommunication,-0.49,neutral
BHARTIHEXA,Telecommunication,-0.78,neutral
BIKAJI,Fast Moving Consumer Goods,-2.22,neutral
BIOCON,Healthcare,0.77,neutral
BSOFT,Information Technology,-8.04,down_5_10
BLUEDART,Services,-0.38,neutral
BLUEJET,Healthcare,-9.99,down_5_10
BLUESTARCO,Consumer Durables,1.18,neutral
BBTC,Fast Moving Consumer Goods,-1.16,neutral
BOSCHLTD,Automobile and Auto Components,-2.19,neutral
FIRSTCRY,Consumer Services,0.75,neutral
BRIGADE,Realty,-4.22,down_3_5
BRITANNIA,Fast Moving Consumer Goods,-1.99,neutral
MAPMYINDIA,Information Technology,-3.98,down_3_5
CCL,Fast Moving Consumer Goods,-0.02,neutral
CESC,Power,-2.42,neutral
CGPOWER,Capital Goods,-0.72,neutral
CRISIL,Financial Services,-4.76,down_3_5
CAMPUS,Consumer Durables,-1.21,neutral
CANFINHOME,Financial Services,-0.47,neutral
CANBK,Financial Services,-2.1,neutral
CAPLIPOINT,Healthcare,-0.32,neutral
CGCL,Financial Services,-1.15,neutral
CARBORUNIV,Capital Goods,-1.23,neutral
CASTROLIND,Oil Gas & Consumable Fuels,-0.81,neutral
CEATLTD,Automobile and Auto Components,-0.57,neutral
CENTRALBK,Financial Services,-1.47,neutral
CDSL,Financial Services,-2.55,neutral
CENTURYPLY,Consumer Durables,-1.53,neutral
CERA,Consumer Durables,-1.54,neutral
CHALET,Consumer Services,-2.13,neutral
CHAMBLFERT,Chemicals,-1.38,neutral
CHENNPETRO,Oil Gas & Consumable Fuels,-2.07,neutral
CHOICEIN,Financial Services,-1.67,neutral
CHOLAHLDNG,Financial Services,-2.77,neutral
