symbol,sector,change_pct,category
360ONE,Financial Services,0.45,neutral
3MINDIA,Diversified,-0.18,neutral
ABB,Capital Goods,-0.88,neutral
ACC,Construction Materials,0.44,neutral
ACMESOLAR,Power,3.86,up_3_5
AIAENG,Capital Goods,2.01,neutral
APLAPOLLO,Capital Goods,0.32,neutral
AUBANK,Financial Services,-1.01,neutral
AWL,Fast Moving Consumer Goods,0.07,neutral
AADHARHFC,Financial Services,-0.31,neutral
AARTIIND,Chemicals,-0.07,neutral
AAVAS,Financial Services,0.49,neutral
ABBOTINDIA,Healthcare,1.26,neutral
ACE,Capital Goods,1.03,neutral
ADANIENSOL,Power,2.67,neutral
ADANIENT,Metals & Mining,2.67,neutral
ADANIGREEN,Power,2.58,neutral
ADANIPORTS,Services,1.7,neutral
ADANIPOWER,Power,1.11,neutral
ATGL,Oil Gas & Consumable Fuels,0.91,neutral
ABCAPITAL,Financial Services,1.13,neutral
ABFRL,Consumer Services,-0.57,neutral
ABLBL,Consumer Services,-0.42,neutral
ABREL,Forest Materials,0.08,neutral
ABSLAMC,Financial Services,0.66,neutral
AEGISLOG,Oil Gas & Consumable Fuels,-0.9,neutral
AEGISVOPAK,Oil Gas & Consumable Fuels,6.1,up_5_10
AFCONS,Construction,-0.63,neutral
AFFLE,Information Technology,-1.26,neutral
AJANTPHARM,Healthcare,0.6,neutral
AKUMS,Healthcare,2.67,neutral
AKZOINDIA,Consumer Durables,0.43,neutral
APLLTD,Healthcare,0.93,neutral
ALKEM,Healthcare,-0.44,neutral
ALKYLAMINE,Chemicals,0.92,neutral
ALOKINDS,Textiles,0.07,neutral
ARE&M,Automobile and Auto Components,0.96,neutral
AMBER,Consumer Durables,0.6,neutral
AMBUJACEM,Construction Materials,-0.51,neutral
ANANDRATHI,Financial Services,0.07,neutral
ANANTRAJ,Realty,0.11,neutral
ANGELONE,Financial Services,-0.1,neutral
APARINDS,Capital Goods,0.34,neutral
APOLLOHOSP,Healthcare,-0.22,neutral
APOLLOTYRE,Automobile and Auto Components,-0.18,neutral
APTUS,Financial Services,1.44,neutral
ASAHIINDIA,Automobile and Auto Components,2.01,neutral
ASHOKLEY,Capital Goods,0.88,neutral
ASIANPAINT,Consumer Durables,1.68,neutral
ASTERDM,Healthcare,0.85,neutral
ASTRAZEN,Healthcare,0.3,neutral
ASTRAL,Capital Goods,0.36,neutral
ATHERENERG,Automobile and Auto Components,2.45,neutral
ATUL,Chemicals,1.6,neutral
AUROPHARMA,Healthcare,0.18,neutral
AIIL,Financial Services,-0.23,neutral
DMART,Consumer Services,0.57,neutral
AXISBANK,Financial Services,-0.08,neutral
BASF,Chemicals,0.57,neutral
BEML,Capital Goods,0.97,neutral
BLS,Consumer Services,-0.14,neutral
BSE,Financial Services,-2.22,neutral
BAJAJ-AUTO,Automobile and Auto Components,1.33,neutral
BAJFINANCE,Financial Services,0.14,neutral
BAJAJFINSV,Financial Services,-0.32,neutral
BAJAJHLDNG,Financial Services,0.75,neutral
BAJAJHFL,Financial Services,-0.1,neutral
BALKRISIND,Automobile and Auto Components,-1.1,neutral
BALRAMCHIN,Fast Moving Consumer Goods,1.37,neutral
BANDHANBNK,Financial Services,0.3,neutral
BANKBARODA,Financial Services,3.66,up_3_5
BANKINDIA,Financial Services,2.78,neutral
MAHABANK,Financial Services,2.72,neutral
BATAINDIA,Consumer Durables,1.2,neutral
BAYERCROP,Chemicals,1.58,neutral
BERGEPAINT,Consumer Durables,0.22,neutral
BDL,Capital Goods,0.65,neutral
BEL,Capital Goods,2.02,neutral
BHARATFORG,Automobile and Auto Components,1.38,neutral
BHEL,Capital Goods,0.11,neutral
BPCL,Oil Gas & Consumable Fuels,0.16,neutral
BHARTIARTL,Telecommunication,-0.45,neutral
BHARTIHEXA,Telecommunication,0.88,neutral
BIKAJI,Fast Moving Consumer Goods,1.52,neutral
BIOCON,Healthcare,-0.26,neutral
BSOFT,Information Technology,-1.17,neutral
BLUEDART,Services,-1.11,neutral
BLUEJET,Healthcare,1.2,neutral
BLUESTARCO,Consumer Durables,1.37,neutral
BBTC,Fast Moving Consumer Goods,0.33,neutral
BOSCHLTD,Automobile and Auto Components,-0.32,neutral
FIRSTCRY,Consumer Services,-4.09,down_3_5
BRIGADE,Realty,-0.69,neutral
BRITANNIA,Fast Moving Consumer Goods,0.65,neutral
MAPMYINDIA,Information Technology,0.16,neutral
CCL,Fast Moving Consumer Goods,-1.74,neutral
CESC,Power,0.76,neutral
CGPOWER,Capital Goods,0.25,neutral
CRISIL,Financial Services,0.12,neutral
CAMPUS,Consumer Durables,0.68,neutral
CANFINHOME,Financial Services,-0.42,neutral
CANBK,Financial Services,2.24,neutral
CAPLIPOINT,Healthcare,0.35,neutral
CGCL,Financial Services,-1.11,neutral
CARBORUNIV,Capital Goods,1.21,neutral
CASTROLIND,Oil Gas & Consumable Fuels,0.77,neutral
CEATLTD,Automobile and Auto Components,0.45,neutral
CENTRALBK,Financial Services,1.85,neutral
CDSL,Financial Services,-1.06,neutral
CENTURYPLY,Consumer Durables,-0.54,neutral
CERA,Consumer Durables,0.72,neutral
CHALET,Consumer Services,1.15,neutral
CHAMBLFERT,Chemicals,1.49,neutral
CHENNPETRO,Oil Gas & Consumable Fuels,-0.32,neutral
CHOICEIN,Financial Services,-1.04,neutral
CHOLAHLDNG,Financial Services,1.61,neutral
CHOLAFIN,Financial Services,1.01,neutral
CIPLA,Healthcare,-0.92,neutral
CUB,Financial Services,0.05,neutral
CLEAN,Chemicals,0.12,neutral
COALINDIA,Oil Gas & Consumable Fuels,-0.22,neutral
COCHINSHIP,Capital Goods,3.82,up_3_5
COFORGE,Information Technology,-0.98,neutral
COHANCE,Healthcare,0.7,neutral
