symbol,sector,change_pct,category
DOMS,Fast Moving Consumer Goods,0.11,neutral
DABUR,Fast Moving Consumer Goods,0.35,neutral
DALBHARAT,Construction Materials,-0.19,neutral
DATAPATTNS,Capital Goods,2.15,neutral
DEEPAKFERT,Chemicals,-0.67,neutral
DEEPAKNTR,Chemicals,-1.16,neutral
DELHIVERY,Services,-0.58,neutral
DEVYANI,Consumer Services,-2.27,neutral
DIVISLAB,Healthcare,-0.31,neutral
DIXON,Consumer Durables,2.93,neutral
AGARWALEYE,Healthcare,-0.24,neutral
LALPATHLAB,Healthcare,1.58,neutral
DRREDDY,Healthcare,0.1,neutral
EIDPARRY,Fast Moving Consumer Goods,-0.82,neutral
EIHOTEL,Consumer Services,0.02,neutral
EICHERMOT,Automobile and Auto Components,-0.68,neutral
ELECON,Capital Goods,0.06,neutral
ELGIEQUIP,Capital Goods,-1.54,neutral
EMAMILTD,Fast Moving Consumer Goods,-0.31,neutral
EMCURE,Healthcare,-1.23,neutral
ENDURANCE,Automobile and Auto Components,0.17,neutral
ENGINERSIN,Construction,12.37,up_10_15
ERIS,Healthcare,-3.54,down_3_5
ESCORTS,Capital Goods,-1.33,neutral
ETERNAL,Consumer Services,0.49,neutral
EXIDEIND,Automobile and Auto Components,1.2,neutral
NYKAA,Consumer Services,1.57,neutral
FEDERALBNK,Financial Services,0.24,neutral
FACT,Chemicals,0.77,neutral
FINCABLES,Capital Goods,-0.78,neutral
FINPIPE,Capital Goods,0.11,neutral
FSL,Services,-2.52,neutral
FIVESTAR,Financial Services,0.25,neutral
FORCEMOT,Automobile and Auto Components,3.12,up_3_5
FORTIS,Healthcare,-0.11,neutral
GAIL,Oil Gas & Consumable Fuels,1.94,neutral
GVT&D,Capital Goods,3.3,up_3_5
GMRAIRPORT,Services,6.9,up_5_10
GRSE,Capital Goods,-0.09,neutral
GICRE,Financial Services,-1.24,neutral
GILLETTE,Fast Moving Consumer Goods,-0.8,neutral
GLAND,Healthcare,1.54,neutral
GLAXO,Healthcare,0.11,neutral
GLENMARK,Healthcare,1.65,neutral
MEDANTA,Healthcare,0.53,neutral
GODIGIT,Financial Services,2.98,neutral
GPIL,Capital Goods,3.58,up_3_5
GODFRYPHLP,Fast Moving Consumer Goods,-3.23,down_3_5
GODREJAGRO,Fast Moving Consumer Goods,-2.0,neutral
GODREJCP,Fast Moving Consumer Goods,0.7,neutral
GODREJIND,Diversified,0.61,neutral
GODREJPROP,Realty,1.44,neutral
GRANULES,Healthcare,0.32,neutral
GRAPHITE,Capital Goods,4.05,up_3_5
GRASIM,Construction Materials,0.86,neutral
GRAVITA,Metals & Mining,0.64,neutral
GESHIP,Services,0.91,neutral
FLUOROCHEM,Chemicals,-2.41,neutral
GUJGASLTD,Oil Gas & Consumable Fuels,-1.58,neutral
GMDCLTD,Metals & Mining,-1.28,neutral
GSPL,Oil Gas & Consumable Fuels,-0.52,neutral
HEG,Capital Goods,0.84,neutral
HBLENGINE,Capital Goods,-3.19,down_3_5
HCLTECH,Information Technology,0.45,neutral
HDFCAMC,Financial Services,1.03,neutral
HDFCBANK,Financial Services,2.42,neutral
HDFCLIFE,Financial Services,1.02,neutral
HFCL,Telecommunication,-1.06,neutral
HAPPSTMNDS,Information Technology,3.76,up_3_5
HAVELLS,Consumer Durables,1.19,neutral
HEROMOTOCO,Automobile and Auto Components,-1.65,neutral
HEXT,Information Technology,2.52,neutral
HSCL,Chemicals,4.56,up_3_5
HINDALCO,Metals & Mining,-0.17,neutral
HAL,Capital Goods,0.33,neutral
HINDCOPPER,Metals & Mining,-2.92,neutral
HINDPETRO,Oil Gas & Consumable Fuels,0.41,neutral
HINDUNILVR,Fast Moving Consumer Goods,0.6,neutral
HINDZINC,Metals & Mining,0.21,neutral
POWERINDIA,Capital Goods,1.81,neutral
HOMEFIRST,Financial Services,-0.86,neutral
HONASA,Fast Moving Consumer Goods,1.56,neutral
HONAUT,Capital Goods,-0.57,neutral
HUDCO,Financial Services,0.47,neutral
HYUNDAI,Automobile and Auto Components,-0.65,neutral
ICICIBANK,Financial Services,-0.21,neutral
ICICIGI,Financial Services,0.31,neutral
ICICIPRULI,Financial Services,-0.44,neutral
IDBI,Financial Services,1.02,neutral
IDFCFIRSTB,Financial Services,1.68,neutral
IFCI,Financial Services,-0.92,neutral
IIFL,Financial Services,0.38,neutral
INOXINDIA,Capital Goods,0.22,neutral
IRB,Construction,-4.02,down_3_5
IRCON,Construction,0.14,neutral
ITCHOTELS,Consumer Services,-0.32,neutral
ITC,Fast Moving Consumer Goods,1.34,neutral
ITI,Telecommunication,-2.2,neutral
INDGN,Healthcare,0.52,neutral
INDIACEM,Construction Materials,-1.56,neutral
INDIAMART,Consumer Services,0.26,neutral
INDIANB,Financial Services,1.74,neutral
IEX,Financial Services,0.82,neutral
INDHOTEL,Consumer Services,-1.27,neutral
IOC,Oil Gas & Consumable Fuels,-0.92,neutral
IOB,Financial Services,0.72,neutral
IRCTC,Consumer Services,-0.65,neutral
IRFC,Financial Services,1.56,neutral
IREDA,Financial Services,2.84,neutral
IGL,Oil Gas & Consumable Fuels,2.82,neutral
INDUSTOWER,Telecommunication,1.52,neutral
INDUSINDBK,Financial Services,0.63,neutral
NAUKRI,Consumer Services,-1.39,neutral
INFY,Information Technology,-0.26,neutral
INOXWIND,Capital Goods,-4.88,down_3_5
INTELLECT,Information Technology,0.8,neutral
INDIGO,Services,0.24,neutral
IGIL,Services,0.65,neutral
